code,company,last_update,count
023450,동남합성,2021-11-23,6205
023460,CNH,2021-11-23,5805
023530,롯데쇼핑,2021-11-23,3900
023590,다우기술,2021-11-23,6010
023600,삼보판지,2021-11-23,5802
023760,한국캐피탈,2021-11-23,5803
023770,플레이위드,2021-11-23,5805
023790,동일철강,2021-11-23,5803
023800,인지컨트롤스,2021-11-23,5200
023810,인팩,2021-11-23,5805
023900,풍국주정,2021-11-23,5803
023910,대한약품,2021-11-23,5803
023960,에쓰씨엔지니어링,2021-11-23,6064
024060,흥구석유,2021-11-23,5800
024070,WISCOM,2021-11-23,5200
024090,디씨엠,2021-11-23,5200
024110,기업은행,2021-11-23,5802
024120,KB오토시스,2021-11-23,5802
024720,한국콜마홀딩스,2021-11-23,5805
024740,한일단조,2021-11-23,5802
024800,유성티엔에스,2021-11-23,5382
024810,이화전기,2021-11-23,5804
024830,세원물산,2021-11-23,5802
024840,KBI메탈,2021-11-23,5803
024850,피에스엠씨,2021-11-23,5149
024880,케이피에프,2021-11-23,5805
024890,대원화성,2021-11-23,5200
024900,덕양산업,2021-11-23,5200
024910,경창산업,2021-11-23,5802
024940,PN풍년,2021-11-23,5802
024950,삼천리자전거,2021-11-23,5803
025000,KPX케미칼,2021-11-23,5200
025320,시노펙스,2021-11-23,5805
025440,대성엘텍,2021-11-23,5802
025530,에스제이엠홀딩스,2021-11-23,5200
025540,한국단자공업,2021-11-23,5200
025550,한국선재,2021-11-23,5803
025560,미래산업,2021-11-23,6230
025620,제이준코스메틱,2021-11-23,5613
025750,한솔홈데코,2021-11-23,4465
025770,한국정보통신,2021-11-23,5804
025820,이구산업,2021-11-23,5200
025860,남해화학,2021-11-23,6354
025870,신라에스지,2021-11-23,5804
025880,케이씨피드,2021-11-23,5803
025890,한국주강,2021-11-23,6042
025900,동화기업,2021-11-23,5803
025950,동신건설,2021-11-23,5802
025980,아난티,2021-11-23,5804
026040,제이에스티나,2021-11-23,5377
026150,특수건설,2021-11-23,5800
026890,디피씨,2021-11-23,5936
026910,광진실업,2021-11-23,5802
026940,부국철강,2021-11-23,5804
026960,동서,2021-11-23,5800
027040,서울전자통신,2021-11-23,5386
027050,코리아나,2021-11-23,5384
027360,아주IB투자,2021-11-23,742
027410,BGF,2021-11-23,1847
027580,상보,2021-11-23,3495
027710,팜스토리,2021-11-23,5803
027740,마니커,2021-11-23,5174
027830,대성창투,2021-11-23,5392
027970,세하,2021-11-23,6347
028050,삼성엔지니어링,2021-11-23,6204
028080,휴맥스홀딩스,2021-11-23,5806
028100,동아지질,2021-11-23,3075
028260,삼성물산,2021-11-23,1702
028300,에이치엘비,2021-11-23,5795
028670,팬오션,2021-11-23,3499
029460,케이씨,2021-11-23,5937
029480,릭스솔루션,2021-11-23,5800
029530,신도리코,2021-11-23,6204
029780,삼성카드,2021-11-23,3558
029960,코엔텍,2021-11-23,4313
030000,제일기획,2021-11-23,5863
030190,NICE평가정보,2021-11-23,5312
030200,케이티,2021-11-23,5621
030210,KTB투자증권,2021-11-23,6234
030350,드래곤플라이,2021-11-23,5804
030520,한글과컴퓨터,2021-11-23,5804
030530,원익홀딩스,2021-11-23,5800
030610,교보증권,2021-11-23,5398
030720,동원수산,2021-11-23,6230
030790,비케이탑스,2021-11-23,5163
030960,양지사,2021-11-23,5805
031310,아이즈비전,2021-11-23,5790
031330,에스에이엠티,2021-11-23,5310
031390,녹십자셀,2021-11-14,5689
031430,신세계인터내셔날,2021-11-23,2550
031440,신세계푸드,2021-11-23,5019
031510,오스템,2021-11-23,5805
031820,콤텍시스템,2021-11-23,6170
031860,엔에스엔,2021-11-23,5804
031980,피에스케이홀딩스,2021-11-23,5805
032080,아즈텍WB,2021-11-23,5204
032190,다우데이타,2021-11-23,5375
032280,삼일,2021-11-23,5802
032300,한국파마,2021-11-23,318
032350,롯데관광개발,2021-11-23,3820
032500,케이엠더블유,2021-11-23,5323
032540,TJ미디어,2021-11-23,5801
032560,황금에스티,2021-11-23,5803
032580,피델릭스,2021-11-23,5805
032620,유비케어,2021-11-23,5804
032640,LG유플러스,2021-11-23,5229
032680,소프트센,2021-11-23,5802
032750,삼진,2021-11-23,5802
032790,엠젠플러스,2021-11-23,5802
032800,판타지오,2021-11-23,5802
032820,우리기술,2021-11-23,5288
032830,삼성생명,2021-11-23,2844
032850,비트컴퓨터,2021-11-23,5802
032860,휴먼엔,2021-11-23,5799
032940,원익,2021-11-23,5804
032960,동일기연,2021-11-23,5803
032980,바이온,2021-11-23,5803
033050,제이엠아이,2021-11-23,5802
033100,제룡전기,2021-11-23,5805
033130,디지틀조선,2021-11-23,5804
033160,엠케이전자,2021-11-23,5804
033170,시그네틱스,2021-11-23,2707
033180,KH 필룩스,2021-11-23,5803
033200,모아텍,2021-11-23,5804
033230,인성정보,2021-11-23,5475
033240,자화전자,2021-11-23,5615
033250,체시스,2021-11-23,5467
033270,유나이티드,2021-11-23,5404
033290,코웰패션,2021-11-23,5804
033310,엠투엔,2021-11-23,5803
033320,제이씨현시스템,2021-11-23,5803
033340,좋은사람들,2021-11-23,5804
033500,동성화인텍,2021-11-23,5805
033530,세종공업,2021-11-23,5806
033540,파라텍,2021-11-23,5804
033560,블루콤,2021-11-23,2665
033640,네패스,2021-11-23,5380
033780,케이티앤지,2021-11-23,5427
033790,스카이문스테크놀로지,2021-11-23,5044
033830,티비씨,2021-11-23,2705
033920,무학,2021-11-23,5585
034020,두산중공업,2021-11-23,5206
034120,SBS,2021-11-23,5530
034220,LG디스플레이,2021-11-23,4288
034230,파라다이스,2021-11-23,4710
034300,신세계건설,2021-11-23,5501
034310,NICE,2021-11-23,4404
034590,인천도시가스,2021-11-23,3716
034730,SK,2021-11-23,2967
034810,해성산업,2021-11-23,5530
